"IB8A";"QW1A";"LU13TRUU";"LU35TRUU";"LU57TRUU";"LU71TRUU";"LU10TRUU";"LU3ATRUU";"LU2ATRUU";"LU1ATRUU";"LUBATRUU";"LUATTRUU";"LUACTRUU"
143.65;143.0203;190.01;208.12;216.43;232.36;271.31;219.17;237.86;235.65;246.1;1398.07;1521.85
143.02;142.397;#N/A;207.71;215.9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1394.01;1516.27
142.51;141.8789;189.66;207.19;215.15;230.43;267.3;217.87;236.15;233.68;243.97;1388.62;1509.03
142.24;141.6074;189.73;207.4;215.42;230.8;268.1;218.15;236.44;234.02;244.28;1390.87;1511.1
142.18;141.6126;189.68;207.26;215.29;230.67;268.03;218.06;236.34;233.85;244.06;1390.37;1509.93
142.33;141.8252;189.72;207.29;215.34;230.75;268.56;218.14;236.51;234.02;244.25;1391.47;1511
142.04;141.5027;189.65;207.13;215.19;230.5;268.22;217.95;236.34;233.88;244.13;1390.36;1510.06
141.8;141.2846;189.63;206.95;214.93;229.99;267.18;217.63;235.95;233.44;243.7;1388.34;1507.36
141.72;141.191;189.53;206.63;214.51;229.28;266.08;217.15;235.49;232.96;243.27;1385.28;1504.52
141.47;140.9671;189.55;206.57;214.41;229.14;265.63;217.05;235.35;232.81;243.11;1384.52;1503.73
141.42;140.9706;189.61;206.71;214.62;229.45;266.44;217.27;235.63;233.15;243.48;1386.11;1505.82
141.73;141.3125;189.77;207.24;215.27;230.52;268.32;218;236.49;234.04;244.35;1390.95;1511.41
141.19;140.744;189.61;206.79;214.68;229.66;266.57;217.38;235.75;233.23;243.49;1386.6;1506.07
141.31;140.8715;189.82;207.27;215.28;230.61;268.91;218.09;236.61;234.18;244.63;1392;1512.34
141.39;140.9669;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
141.39;140.9452;189.72;206.97;214.91;230.05;267.58;217.66;236.2;233.7;243.98;1388.7;1508.91
141.54;141.0767;189.8;207.23;215.23;230.58;269.06;218.07;236.64;234.23;244.53;1392.13;1512.11
142.19;141.7035;190.02;207.7;215.8;231.53;270.92;218.75;237.45;235.08;245.39;1397.17;1517.29
142.02;141.5445;190.16;208.01;216.15;231.97;271.7;219.11;237.84;235.51;245.81;1399.56;1519.84
141.09;140.6911;190.1;207.77;215.81;231.46;270.38;218.74;237.33;234.94;245.27;1396.69;1516.26
141.7;141.3041;190.26;208.15;216.33;232.18;271.46;219.24;237.91;235.55;245.93;1399.63;1520.22
141.63;141.2532;190.5;208.6;216.83;232.83;271.73;219.71;238.36;235.95;246.28;1402.06;1522.74
141.78;141.3938;190.37;208.35;216.51;232.32;270.34;219.31;237.85;235.37;245.69;1398.61;1519.03
142.47;142.0556;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
142.4;141.9206;190.51;208.65;216.88;232.86;271.71;219.73;238.43;236.02;246.36;1402.07;1523.18
142.41;141.9371;190.58;208.78;217.07;233.15;273;219.95;238.87;236.58;246.96;1404.43;1526.72
142.09;141.5711;190.38;208.26;216.44;232.18;271.01;219.24;238.02;235.65;246.11;1399.24;1521.07
142.15;141.6936;190.33;208.09;216.15;231.79;270.75;219;237.87;235.47;245.85;1398.22;1519.88
142.43;142.078;190.26;207.88;215.89;231.4;270.2;218.74;237.56;235.16;245.52;1396.69;1517.83
142.53;142.2221;190.3;207.94;215.93;231.48;270.26;218.82;237.57;235.17;245.37;1397.17;1517.6
142.41;142.0802;190.26;207.73;215.69;231.11;269.21;218.55;237.14;234.7;244.9;1394.86;1514.6
142.66;142.4151;190.46;208.24;216.35;232.11;271.17;219.29;237.97;235.59;245.62;1400.16;1520.05
142.37;142.1392;190.44;208.14;216.24;231.88;270.51;219.13;237.75;235.35;245.36;1398.77;1518.42
142.51;142.3368;190.65;208.6;216.83;232.74;271.98;219.76;238.43;236.08;246.14;1403.01;1523.22
141.85;141.8071;190.46;208.14;216.24;231.85;270.07;219.11;237.62;235.19;245.26;1398.1;1517.58
142.1;142.1105;190.48;208.13;216.21;231.76;270.05;219.06;237.64;235.19;245.33;1397.82;1517.82
142.08;142.18;190.56;208.32;216.51;232.14;270.35;219.32;237.83;235.37;245.61;1398.9;1519.16
142.16;142.3618;190.8;208.89;217.22;233.24;272.87;220.12;238.86;236.54;246.89;1404.92;1526.68
